text,rate
"









  
  
    
  These sticks are awesome! I bought them for my boys to use as daggers since they are already sharpened. As one of them went to slash the wall, it left a gray streak as if to say, ""Ace was here"" Later we realized that the sharp end would also leave the same grey streak on all types of cardboard, wood, paper and canvas. Awesome product, I know, but I am about to blow your mind. While my kids were using the pink end made for rub burns they found out that if you rub it against the gray streaks, they magically DISAPPEAR! I know this is crazy! It's like a box of 150 little stabbing time machines! I can't wait to buy more when my homeschoolers run out of these.

  
",5.0 out of 5 stars
"









  
  
    
  I bought these as they seemed to be a great deal. They came pre-sharpened, which seemed great at the start. The pre-sharpened ends, are dull bulbs and when you try to sharpen the pencil, the graphite breaks almost every time! It's so delicate that if you're lucky enough to get the pencil sharpened without breaking, you are left with a 3 inch pencil, on the FIRST SHARPENING! I would NOT recommend these pencils unless you are buying them for someone you hate!

  
",1.0 out of 5 stars
"









  
  
    
  If you are looking for pencils,look no further! This is what you need!One will last your students all year!You have many kids in your family?All you need to buy is one and it will last you the whole year!This is also an Excellent gift for any teacher! It will help your childs class out greatly! Thesr pencils are presharpened,So there is no need to worry about sharpening your childs pencils before school. This will make sure your student doesn't have to worry about sharpening their pencil before class. If your child brakes their point, they will have a back-up that is already sharpened! Which makes their life easier and that means they can focus on their work and not worry about sharpening their pencil.This is a must have for all teachers!Teachers spend money out of their pockets to buy things like pencils, paper, etc. For their students, so it would be a great idea to buy an extra one to send to school for your students teacher. It would help out a great deal!This is an Awesome Teachers gift forAny and all Teachers!!!

  
",4.0 out of 5 stars
"









  
  
    
  Been buying these boxes of pencils for the past year or so. We are now on our third box (yeah, that's what happens when our teen boys fail to put their pencils back in their backpack or pencil bag in their binder! Really, it's not hard, but they have yet to reach this developmental milestone). Thus, I love buying Amazon's bulk pencils.So glad these now come pre-sharpened! That little meaningful improvement cuts 30 seconds of pencil sharpening stress as we are trying to run out the door in the morning and someone realizes they don't have any pencils on hand. I put a bunch of these pre-sharpened beauties in a large clear mason jar, near where they store their backpacks. No excuses for being without a writing utensil!Back to my point... these are high quality pencils and an excellent value. Way to go, Amazon, for keeping our whole family stocked with quality school supplies like these pencils.

  
",5.0 out of 5 stars
"









  
  
    
  of all the things to cut corners on, you cut corners on your pencils?? these pencils are terrible. they are nearly impossible to sharpen, the tip breaks off over and over and over. after the initial pre sharpened point is gone they are basically worthless. what a waste of material. this is why our planet is in the gutter, because garbage companies make garbage products just to scam us out of our hard earned money and where do these products go? the trash. landfills. DO NOT BUY THESE PENCILS!! splurge on ticonderoga or another pencil brand that will actually sharpen.

  
",1.0 out of 5 stars
"









  
  
    
  These are very well made pencils at a very good price, 8 cents a piece.  We have bought these multiple times now with no complaints.We buy these for our kids schools and send them a hand full (50 ish) at a time.  The teacher have really appreciated the fact they are pre sharpened and we send more in mid year.I know I wrote this above but these are really well made.  Solid wood #2 pencils... not the crappy ones with some wood like product in the center around the lead.

  
",5.0 out of 5 stars
"









  
  
    
  I thought it'd be an excellent idea to get these for a teacher friend.  She always says that students lose pencils and are always asking if she has one.  So For a cheap price you can get 150 #2s.  For starters, the erasers on these are very cheap.  Some will even fall off after a couple uses.  The pencils sharpen easily - which is a bonus, but then it eats up most of the pencil in the sharpening process.  Not a fan.  I'd rather spend a bit more to get a better quality pencil.

  
",2.0 out of 5 stars
"









  
  
    
  these pencils are good quality and the erasers aren't that bad. I like that they are presharpened so I was able to use them right out of the box. I haven't had to resharpen of them as of yet. Got these mainly to replace pencils in my drawing kit that were too small or didn't want to sharpen any more. Thank you amazon for an awesome product and keep up the food work.Also as a side note the way they shipped they put a little piece of Styrofoam stuff to keep the tips from breaking thought that was a cool addition to safety of the product while it ships.

  
",5.0 out of 5 stars
"









  
  
    
  The price seemed like a bargain. I'm using these to include in pencil pouches with school supplies for Operation Christmas Child. You can see examples of school supplies and pencil pouches at blessingsinashoebox.com. I always include pencil sharpeners but I like that the pencils are pre-sharpened because the receiving children can use them right away and it make resharpening easier. They seem consistent and as wooden pencils they are fine. I would have given a higher rating but I only received 130 pencils not 150 as stated. I'm going to keep them and use them because I think the quality is decent and for 20 pencils it isn't worth the hassle of returning them for a replacement but I'll probably go back to buying the other brand before. The price is still good for 130 pencils and more importantly including them in OCC shoeboxes will offer children opportunities that they would otherwise not have. .

  
",3.0 out of 5 stars
"









  
  
    
  Great number 2 pencils. I got this for my kids for the upcoming school year and am very satisfied with my purchase. All the pencils come sharpened and the erasers work perfectly leaving no residue behind. I like the cardboard box it comes in where all the pencils are loose inside so no need to be opening several smaller packs and having all that extra cardboard. Will buy again.

  
",5.0 out of 5 stars
